year,month,price,CPI,Diesel,THB_USD
2015,1,829.0,98.03,25.889999999999997,32.72
2015,2,854.0,98.13,26.406666666666666,32.35
2015,3,868.0,98.2,26.715,32.53
2015,4,0.0,98.11,25.29,33.01
2015,5,0.0,98.31,26.115,33.69
2015,6,0.0,98.42,25.79,33.79
2015,7,0.0,98.35,24.373333333333335,34.99
2015,8,0.0,98.13,22.729999999999997,35.82
2015,9,0.0,98.0,23.189999999999998,36.36
2015,10,0.0,98.16,23.406666666666666,35.59
2015,11,0.0,97.75,23.173333333333332,35.79
2015,12,720.0,97.31,21.54,36.02
2016,1,749.0,97.04,19.74,35.71
2016,2,759.0,97.18,20.406666666666666,35.61
2016,3,765.0,97.39,21.85666666666667,35.1
2016,4,0.0,98.01,22.639999999999997,34.89
2016,5,0.0,98.77,24.39,35.76
2016,6,0.0,98.78,25.05666666666667,35.1
2016,7,0.0,98.38,24.45428571428571,34.76
2016,8,0.0,98.22,23.465000000000003,34.62
2016,9,0.0,98.31,23.29,34.58
2016,10,0.0,98.49,24.406666666666666,35.02
2016,11,0.0,98.42,24.27333333333333,35.69
2016,12,901.0,98.55,25.606666666666666,35.84
2017,1,941.0,98.66,26.540000000000003,35.08
2017,2,975.0,98.64,26.64,34.93
2017,3,1011.0,97.94,25.639999999999997,34.34
2017,4,0.0,98.09,25.490000000000002,34.58
2017,5,0.0,98.26,25.019999999999996,34.03
2017,6,0.0,98.34,24.115000000000002,33.92
2017,7,0.0,98.26,24.689999999999998,33.29
2017,8,0.0,98.45,25.006666666666664,33.17
2017,9,0.0,99.05,25.87333333333333,33.32
2017,10,0.0,99.24,26.04,33.22
2017,11,0.0,99.28,26.673333333333332,32.64
2017,12,748.0,99.09,26.939999999999998,32.55
2018,1,754.0,99.09,27.689999999999998,31.34
2018,2,773.0,98.55,26.973333333333333,31.48
2018,3,788.0,98.34,27.14,31.17
2018,4,0.0,98.72,27.64,31.54
2018,5,0.0,99.22,29.127499999999998,32.05
2018,6,0.0,99.23,28.96,33.02
2018,7,0.0,99.31,28.981666666666666,33.19
2018,8,0.0,99.63,29.215,32.75
2018,9,0.0,99.65,29.84,32.32
2018,10,0.0,99.55,29.893571428571427,33.11
2018,11,0.0,99.28,28.718571428571426,32.96
2018,12,605.0,98.55,26.677500000000002,32.33
2019,1,575.0,98.63,25.734444444999998,31.2
2019,2,597.0,98.9,26.55666667,31.57
2019,3,605.0,99.36,27.43,31.72
2019,4,0.0,99.92,28.0733333325,31.89
2019,5,0.0,100.69,27.934444446666664,31.52
2019,6,0.0,100.31,26.417777778333335,30.68
2019,7,0.0,100.35,26.623333331999998,30.7
2019,8,0.0,100.38,25.929999998000007,30.6
2019,9,0.0,100.68,25.916666666000005,30.59
2019,10,0.0,100.44,25.728888888333334,30.18
2019,11,0.0,100.12,25.78583333375,30.19
2019,12,629.0,100.23,26.44416666625,29.76
